price,title,rating
,"Hisense ULED Premium 65U8G QLED Series 65-inch Android 4K Smart TV with Alexa Compatibility, 1500-nit HDR10+, Dolby Vision IQ & Atmos, 120Hz, HDMI 2.1,Bluetooth, Wi-Fi, USB, Ethernet, Game Mode Pro",4.3
,,
